,wind_code,sec_name,ar_by_buyer_name,ar_buyer_standard,ar_buyer_subid,cus_name,cus_name_standard,cus_name_subid,ar_buyer_region,cus_region,match_score
742828,688127.SH,蓝特光学,昆明腾洋光学仪器有限公司,昆明腾洋光学仪器有限公司,7,"昆明腾洋光学仪器有限公司,昆明臻瑞光学仪器有限公司","昆明腾洋光学仪器有限公司,昆明臻瑞光学仪器有限公司",11,昆明,昆明,100
742864,688128.SH,中国电研,Eurl Saterex,Eurl Saterex,2,Eurl Saterex,Eurl Saterex,1,,,100
742878,688128.SH,中国电研,Eurl saterex,Eurl saterex,3,Eurl Saterex,Eurl Saterex,1,,,92
742921,688128.SH,中国电研,Samha Home Appliances,Samha Home Appliances,6,Samha Home Appliances,Samha Home Appliances,2,,,100
742996,688128.SH,中国电研,比亚迪股份有限公司,比亚迪股份有限公司,11,比亚迪股份有限公司,比亚迪股份有限公司,7,,,100
743004,688129.SH,东来技术,一汽-大众汽车有限公司,一汽-大众汽车有限公司,1,一汽-大众汽车有限公司,一汽-大众汽车有限公司,1,,,100
743013,688129.SH,东来技术,东风汽车有限公司东风日产乘用车公司,东风汽车有限公司东风日产乘用车公司,2,东风汽车有限公司东风日产乘用车公司,东风汽车有限公司东风日产乘用车公司,2,,,100
743022,688129.SH,东来技术,北京燕美拓达商贸有限责任公司,北京燕美拓达商贸有限责任公司,3,北京燕美拓达商贸有限责任公司,北京燕美拓达商贸有限责任公司,3,北京,北京,100
743081,688129.SH,东来技术,神龙汽车有限公司,神龙汽车有限公司,10,神龙汽车有限公司,神龙汽车有限公司,6,,,100
743090,688129.SH,东来技术,艾仕得涂料系统(长春)有限公司,艾仕得涂料系统(长春)有限公司,11,艾仕得涂料系统(长春)有限公司,艾仕得涂料系统(长春)有限公司,7,长春,长春,100
743122,688130.SH,晶华微,优利德科技(中国)股份有限公司,优利德科技(中国)股份有限公司,3,优利德科技(中国)股份有限公司,优利德科技(中国)股份有限公司,1,,,100
743167,688130.SH,晶华微,广东沃莱科技有限公司,广东沃莱科技有限公司,7,广东沃莱科技有限公司,广东沃莱科技有限公司,2,广东,广东,100
743179,688130.SH,晶华微,广东香山衡器集团股份有限公司,广东香山衡器集团股份有限公司,8,广东香山衡器集团股份有限公司(包含关联公司),广东香山衡器集团股份有限公司(包含关联公司),3,广东,广东,100
743190,688130.SH,晶华微,广东香山衡器集团股份有限公司(包含关联公司),广东香山衡器集团股份有限公司(包含关联公司),9,广东香山衡器集团股份有限公司(包含关联公司),广东香山衡器集团股份有限公司(包含关联公司),3,广东,广东,100
743213,688130.SH,晶华微,深圳富士泰科电子有限公司,深圳富士泰科电子有限公司,11,深圳富士泰科电子有限公司,深圳富士泰科电子有限公司,4,深圳,深圳,100
743250,688130.SH,晶华微,深圳市静是福科技有限公司,深圳市静是福科技有限公司,14,深圳市静是福科技有限公司,深圳市静是福科技有限公司,8,深圳,深圳,100
743264,688130.SH,晶华微,缙云县志合电子科技有限公司,缙云县志合电子科技有限公司,15,缙云县志合电子科技有限公司,缙云县志合电子科技有限公司,11,,,100
743312,688131.SH,皓元医药,MedChemtronica AB,MedChemtronica AB,3,Chemtronica AB,Chemtronica AB,3,,,100
743383,688131.SH,皓元医药,上海北卡医药技术有限公司,上海北卡医药技术有限公司,7,上海北卡医药技术有限公司,上海北卡医药技术有限公司,6,上海,上海,100
743613,688133.SH,泰坦科技,上海化工研究院有限公司,上海化工研究院有限公司,2,上海化工研究院有限公司,上海化工研究院有限公司,1,上海,上海,100
743644,688133.SH,泰坦科技,中国科学院及其下属研究所,中国科学院及其下属研究所,4,中国科学院及其下属研究所,中国科学院及其下属研究所,4,,,100
743687,688133.SH,泰坦科技,华东理工大学,华东理工大学,7,华东理工大学,华东理工大学,5,,,100
743702,688133.SH,泰坦科技,南通艾德旺化工有限公司,南通艾德旺化工有限公司,8,南通艾德旺化工有限公司,南通艾德旺化工有限公司,6,南通,南通,100
743717,688133.SH,泰坦科技,复旦大学,复旦大学,9,复旦大学,复旦大学,7,,,100
743804,688133.SH,泰坦科技,江苏德威涂料有限公司,江苏德威涂料有限公司,15,江苏德威涂料有限公司,江苏德威涂料有限公司,10,江苏,江苏,100
743820,688133.SH,泰坦科技,泰州华诚医学投资集团有限公司,泰州华诚医学投资集团有限公司,16,泰州华诚医学投资集团有限公司,泰州华诚医学投资集团有限公司,12,泰州,泰州,100
743863,688133.SH,泰坦科技,药明康德,药明康德,19,药明康德,药明康德,13,,,100
743878,688133.SH,泰坦科技,长春化工(江苏)有限公司,长春化工(江苏)有限公司,20,长春化工(江苏)有限公司,长春化工(江苏)有限公司,14,江苏,江苏,100
743891,688135.SH,利扬芯片,国民技术股份有限公司,国民技术股份有限公司,2,国民技术股份有限公司,国民技术股份有限公司,2,,,100
743903,688135.SH,利扬芯片,深圳市汇顶科技股份有限公司,深圳市汇顶科技股份有限公司,3,深圳市汇顶科技股份有限公司,深圳市汇顶科技股份有限公司,3,深圳,深圳,100
743927,688135.SH,利扬芯片,深圳市锐能微科技有限公司,深圳市锐能微科技有限公司,5,深圳市锐能微科技有限公司,深圳市锐能微科技有限公司,5,深圳,深圳,100
743940,688135.SH,利扬芯片,深圳比特微电子科技有限公司,深圳比特微电子科技有限公司,6,深圳比特微电子科技有限公司,深圳比特微电子科技有限公司,7,深圳,深圳,100
743953,688135.SH,利扬芯片,珠海全志科技股份有限公司,珠海全志科技股份有限公司,7,珠海全志科技股份有限公司,珠海全志科技股份有限公司,9,珠海,珠海,100
743965,688135.SH,利扬芯片,珠海博雅科技有限公司,珠海博雅科技有限公司,8,珠海博雅科技有限公司,珠海博雅科技有限公司,10,珠海,珠海,100
743989,688136.SH,科兴制药,BLAUFARMACEUTICAS.A.(巴西),BLAUFARMACEUTICAS.A.(巴西),1,BLAU FARMACEUTICA S.A.(巴西),BLAU FARMACEUTICA S.A.(巴西),1,,,92
744099,688137.SH,近岸蛋白,"Abbott Diagnostics Korea Inc,","Abbott Diagnostics Korea Inc,",1,Abbot Diagnostics Korea Inc.,Abbot Diagnostics Korea Inc.,1,,,96
744100,688137.SH,近岸蛋白,"Abbott Diagnostics Korea Inc,","Abbott Diagnostics Korea Inc,",1,Abbott Diagnostics Korea Inc.,Abbott Diagnostics Korea Inc.,2,,,97
744131,688137.SH,近岸蛋白,BON OPUS BIOSCIENCESLLC,BON OPUS BIOSCIENCESLLC,3,BON OPUS BIOSCIENCES LLC,BON OPUS BIOSCIENCES LLC,3,,,96
744146,688137.SH,近岸蛋白,BONOPUS BIOSCIENCES LLC,BONOPUS BIOSCIENCES LLC,4,BON OPUS BIOSCIENCES LLC,BON OPUS BIOSCIENCES LLC,3,,,96
744227,688137.SH,近岸蛋白,复星诊断科技(上海)有限公司,复星诊断科技(上海)有限公司,9,复星诊断科技(上海)有限公司,复星诊断科技(上海)有限公司,9,上海,上海,100
744274,688137.SH,近岸蛋白,杭州临安艾康生物技术有限公司,杭州临安艾康生物技术有限公司,12,杭州临安艾康生物技术有限公司,杭州临安艾康生物技术有限公司,11,杭州,杭州,100
744290,688137.SH,近岸蛋白,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,13,玉溪沃森生物技术有限公司,玉溪沃森生物技术有限公司,12,玉溪,玉溪,100
744307,688137.SH,近岸蛋白,艾康生物技术(杭州)有限公司,艾康生物技术(杭州)有限公司,14,艾康生物技术(杭州)有限公司,艾康生物技术(杭州)有限公司,14,杭州,杭州,100
744323,688137.SH,近岸蛋白,英科隆生物技术(杭州)有限公司,英科隆生物技术(杭州)有限公司,15,英科隆生物技术(杭州)有限公司,英科隆生物技术(杭州)有限公司,15,杭州,杭州,100
744337,688138.SH,清溢光电,Innolux Corporation,Innolux Corporation,2,Innolux Corporation,Innolux Corporation,1,,,100
744365,688138.SH,清溢光电,京东方科技集团股份有限公司,京东方科技集团股份有限公司,4,京东方,京东方,3,东方,东方,100
744380,688138.SH,清溢光电,信利半导体有限公司,信利半导体有限公司,5,信利半导体有限公司,信利半导体有限公司,5,,,100
744395,688138.SH,清溢光电,天马微电子股份有限公司,天马微电子股份有限公司,6,天马,天马,7,,,100
744396,688138.SH,清溢光电,天马微电子股份有限公司,天马微电子股份有限公司,6,天马微电子股份有限公司,天马微电子股份有限公司,8,,,100
744445,688139.SH,海尔生物,United Nations Children's Fund,United Nations Children's Fund,3,United Nations Children's Fund,United Nations Children's Fund,2,,,100
744475,688139.SH,海尔生物,杭州奕安济世生物药业有限公司,杭州奕安济世生物药业有限公司,6,杭州奕安济世生物药业有限公司,杭州奕安济世生物药业有限公司,8,杭州,杭州,100
744541,688141.SH,杰华特,UNIQUESTAR ELECTRONICS INC,UNIQUESTAR ELECTRONICS INC,2,UNIQUESTAR ELECTRONICS INC.,UNIQUESTAR ELECTRONICS INC.,1,,,100
